# 致爱丽丝 - 右手旋律
# 速度: 1拍=450ms, 力度: 80
#第一部分为1~9并重复一次
#1
76,225,40
75,225,50
#2
76,225,60
75,225,70
76,225,80
71,225,80
74,225,60
72,225,40
#3
69,450,40
60,225,0
60,225,55
64,225,60
69,225,65
#4
71,450,70
60,225,0
64,225,55
68,225,60
71,225,65
#5
72,450,70
60,225,0
64,225,40
76,225,40
75,225,40
#6
76,225,50
75,225,60
76,225,70
71,225,70
74,225,60
72,225,50
#7
69,450,40
60,225,0
60,225,55
64,225,60
69,225,65
#8
71,450,70
60,225,0
64,225,50
72,225,45
71,225,40
#9
69,900,40

#重复
#1
76,225,40
75,225,50
#2
76,225,60
75,225,70
76,225,80
71,225,80
74,225,60
72,225,40
#3
69,450,40
60,225,0
60,225,55
64,225,60
69,225,65
#4
71,450,70
60,225,0
64,225,55
68,225,60
71,225,65
#5
72,450,70
60,225,0
64,225,40
76,225,40
75,225,40
#6
76,225,50
75,225,60
76,225,70
71,225,70
74,225,60
72,225,50
#7
69,450,40
60,225,0
60,225,55
64,225,60
69,225,65
#8
71,450,70
60,225,0
64,225,50
72,225,45
71,225,40
#9
69,450,40
60,225,0

#第二部分
#10
71,225,55
72,225,60
74,225,65
#11
76,675,70
67,225,70
77,225,70
76,225,70
#12
74,675,70
65,225,70
76,225,70
74,225,70
#13
72,675,70
64,225,55
74,225,50
72,225,45
#14
71,450,40
