# 致爱丽丝 - 左手伴奏
# 速度: 1拍=450ms, 力度: 60
#第一部分从1~9并重复一次
#1节
60,450,0
#2节
60,1350,0
#3
45,225,40
52,225,45
57,225,50
60,675,0
#4
40,225,40
52,225,45
56,225,50
60,675,0
#5
45,225,40
52,225,45
57,225,50
60,675,0
#6
60,1350,0
#7
45,225,40
52,225,45
57,225,50
60,675,0
#8
40,225,40
52,225,45
56,225,50
60,675,0
#9
45,225,50
52,225,45
57,225,40
60,225,0

#重复
#1节
60,450,0
#2节
60,1350,0
#3
45,225,40
52,225,45
57,225,50
60,675,0
#4
40,225,40
52,225,45
56,225,50
60,675,0
#5
45,225,40
52,225,45
57,225,50
60,675,0
#6
60,1350,0
#7
45,225,40
52,225,45
57,225,50
60,675,0
#8
40,225,40
52,225,45
56,225,50
60,675,0
#9
45,225,40
52,225,45
57,225,50

#第二部分
#10
60,675,0
#11
48,225,70
55,225,70
60,225,70
60,675,0
#12
43,225,70
55,225,70
59,225,70
60,675,0
#13
45,225,70
52,225,65
57,225,60
60,675,0

